year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2012,3,MA,Massachusetts,Physical Activity,Zoning/Land Use,Community,Infrastructure Investment,Dead,S2350,3,"(Abstract - ""Establishes a state infrastructure program to give grants to publicly owned infrastructure, including walking paths and bicycle lanes. Smart growth projects are given preference.2011 MA S 2366, SB 2346, SB 2350, and HB 4352 all correspond to the same measure""), (BillHistory - 07/17/2012 INTRODUCED. 07/17/2012 Recommended New Text of H 4119. 07/19/2012 In SENATE. A series of amendments were proposed and rejected in SENATE. A series of proposed floor amendments were withdrawn in SENATE. A series of proposed floor amendments were adopted.  Proposed floor amendment adopted as redrafted. Amendment No. 105. 07/19/2012 In SENATE. Proposed floor amendmentwithdrawn. Amendment No. 121. 07/19/2012 In SENATE. Proposed floor amendment adopted.Amendment No. 12. 07/19/2012 Amended on SENATE floor by substitution of New Text. New text bill no. not yet assigned. )",58,LEG,003PA,033ZON,002COM,6833,"(42.27687047, -72.082690675)"
2011,1,OH,Ohio,Obesity,Appropriations,Restaurant/Retail,Underserved Community Grocery Store Tax Credits,Dead,S47,3,"(Abstract - Authorizes a commercial activity tax credit for underserved community grocery stores.  ), (BillHistory - 02/01/2011 - INTRODUCED.;02/01/2011 - To SENATE Committee on REFERENCE.;02/02/2011 - From SENATE Committee on REFERENCE:  Recommended referral.;02/02/2011 - To SENATE Committee on WAYS AND MEANS AND ECONOMIC DEVELOPMENT.)",28,LEG,002OB,002APP,006RES,4454,"(40.060210141, -82.404260056)"
2009,1,DE,Delaware,Nutrition,Food Security,Restaurant/Retail,Nutrition Information,Dead,S81,3,"(Abstract - Addresses the obesity epidemic seriously affecting the health of residents, requires chain restaurants to properly and completely label food choices with important nutritional information and to display nutrition information for food and beverages offered for sale. ), (BillHistory - 04/30/2009 - INTRODUCED.;04/30/2009 - To SENATE Committee on SMALL BUSINESS.;06/03/2009 - From SENATE Committee on SMALL BUSINESS:  Reported without recommendation.;06/16/2009 - SENATE Amendment placed with bill.  No. 1, 2.;01/19/2010 - Laid on table.;01/19/2010 - SENATE Amendment placed with bill.  No. 3. 4.;01/20/2010 - SENATE Amendment placed with bill.  No.  5.;01/21/2010 - Removed from table.;01/21/2010 - SENATE Amendment adopted on SENATE floor.  No. 5.;01/21/2010 - SENATE Amendment rejected on SENATE floor.  No.  1, 2, 3, 4.;01/21/2010 - Passed SENATE.  *****To HOUSE.;01/27/2010 - To HOUSE Committee on ECONOMIC DEVELOPMENT, BANKING/INSURANCE AND COMMERCE.)",14,LEG,001NUT,023FOS,006RES,108,"(39.008830667, -75.577741168)"
2009,1,ME,Maine,Nutrition,Farmers Markets,Community,Food Stamps and Local Produce,Dead,H251,3,"(Abstract - Requires the Department of Health and Human Services and the Department of Agriculture, Food and Rural Resources to develop a plan that will encourage food stamp recipients to purchase fresh produce from local farmers and that will facilitate food stamp recipients' access to local farm products, requires the departments to consult with local farmers and advocates for low-income people in developing this plan, requires the departments to consider the farmers' market projects.), (BillHistory - 02/02/2009 - INTRODUCED.;02/02/2009 - Filed as LR 775.;02/03/2009 - HOUSE refers to JOINT Committee on HEALTH AND HUMAN SERVICES.;02/03/2009 - SENATE refers to JOINT Committee on HEALTH AND HUMAN SERVICES in concurrence.;03/10/2009 - From JOINT Committee on HEALTH AND HUMAN SERVICES:  Ought Not to Pass.;03/12/2009 - HOUSE adopts Majority Committee Report:  Ought not to pass.;03/12/2009 - SENATE adopts Majority Committee Report:  Ought not to pass.)",9,LEG,001NUT,016FAM,002COM,760,"(45.254228894001, -68.985031336)"
2012,1,IL,Illinois,Nutrition,Appropriations,Community,An Act Concerning Appropriations,Dead,H5958,3,"(Abstract - Appropriates monies to the United States Department of Agriculture Farmers' Market Nutrition Program.), (BillHistory - 02/24/2012 INTRODUCED; 02/28/2012 To HOUSE Committee on RULES; 02/29/2012 To HOUSE Committee on APPROPRIATIONS-HUMAN SERVICES.)",2,LEG,001NUT,002APP,002COM,5597,"(40.485010283, -88.997710178)"
2009,1,FL,Florida,Obesity,Appropriations,School/After School,Physical Education in Public Schools,Dead,H1505,3,"(Abstract - Relates to physical education in public schools, revises applicability of physical education requirements for certain students in grade 6, provides that criteria for waiver of physical education requirements apply to students in grades 6 through 8, provides additional criteria for which a waiver shall be given, requires certain documentation.), (BillHistory - 03/03/2009 - INTRODUCED.;03/09/2009 - To HOUSE Committee on PRE-K THROUGH 12 POLICY.;03/09/2009 - Referred to HOUSE Council on EDUCATION POLICY.;03/09/2009 - Referred to HOUSE Committee on PRE-K - 12 APPROPRIATIONS.;03/09/2009 - Referred to HOUSE FULL APPROPRIATIONS COUNCIL ON EDUCATION AND ECONOMIC DEVELOPMENT.;05/02/2009 - In HOUSE.  Indefinitely postponed and withdrawn from consideration.)",28,LEG,002OB,002APP,004SAS,116,"(28.932040377, -81.928960539)"
2010,1,MO,Missouri,Nutrition,Farmers Markets,Restaurant/Retail,State and Local Sales Tax Exemption,Dead,H1864,3,"(Abstract - Creates a state and local sales tax exemption for sales of farm products made at farmers' markets. ), (BillHistory - 01/28/2010 - INTRODUCED.;02/24/2010 - To HOUSE Committee on AGRI-BUSINESS.;03/02/2010 - Public Hearing completed.)",9,LEG,001NUT,016FAM,006RES,2837,"(38.635790776, -92.566300053)"
2009,1,MA,Massachusetts,Obesity,Appropriations,Community,Transportation System Modernization,Dead,S2023,3,"(Abstract - Modernizes the transportation system of the Commonwealth.), (BillHistory - 03/24/2009 - INTRODUCED.;03/24/2009 - Recommended New Draft for  S 10.;03/25/2009 - In SENATE. Amended on floor by insertion of New Text.  See  S 2024.;03/26/2009 - Amended on SENATE floor by substitution of New Draft.  For further action see  S 2024.)",28,LEG,002OB,002APP,002COM,285,"(42.27687047, -72.082690675)"
2007,1,GA,Georgia,Physical Activity,Disabilities,School/After School,House Resolution  <br>,Enacted,HR322,1,"(Abstract - Creates the Joint Study Committee on Continuing Education and Collegiate Sports Programs (""Committee"") for students with disabilities. Instructs the Committee to identify and create opportunities for student athletes with disabilities.), (BillHistory - ""02/20/2007 INTRODUCED; 02/21/2007 To HOUSE Committee on HIGHER EDUCATION; 02/28/2007 From HOUSE Committee on HIGHER EDUCATION: Favorably reported; 03/27/2007 In HOUSE. Read third time. Passed HOUSE.*****To SENATE; 03/27/2007 To SENATE Committee on HIGHER EDUCATION; 04/13/2007 From SENATE Committee on HIGHER EDUCATION: Favorably reported; 04/19/2007 In SENATE. Read third time. Passed SENATE' 05/01/2007 *****To GOVERNOR; 05/30/2007 Signed by GOVERNOR; 05/30/2007 Act No. 374"")",52,LEG,003PA,011DIS,004SAS,5580,"(32.839681093, -83.627580346)"
2015,1,NY,New York,Physical Activity,Physical Activity Requirements,Restaurant/Retail,Sweetened Beverage Tax Law,Introduced,AB5945,0,"(Abstract - ""Requires distributors to collect a $0.01 per fluid ounce tax on sugar sweetened beverages. """"Sweetened beverage"""" means any sweetened nonalcoholic beverage sold for human consumption that has caloric sweeteners and contains more than twenty-five calories per twelve ounces, including, but not limited to, the following: soda water, ginger ale, root beer, all beverages commonly referred to as cola, lime, lemon, lemon-lime, and other flavored beverages, including any fruit or vegetable beverage containing less than fifty percent natural fruit juice or natural vegetable juice or combined natural fruit juice and natural vegetable juice, and all other drinks and beverages commonly referred to as """"soda,"""" """"soda pop,"""" """"soft drinks,"""" """"sports drinks,"""" """"energy drinks,"""" """"juice drinks,"""" """"ice teas,"""" and """"vitamin fortified waters.""""The tax establishes the Children's Health Promotion Fund to be allocated for the purposes of statewide childhood obesity prevention. The funds are allocated to improve access to and consumption of healthy, safe, and affordable foods and beverages; reduce access to and consumption of calorie-dense, nutrient poor foods; encourage physical activity; decrease sedentary behavior; and raise awareness about the importance of nutrition and physical activity to childhood obesity prevention; evidence-based prevention, early recognition, monitoring, and weight management intervention activities in the medical setting; and can include improving or building school recreational facilities that are used for recess and physical education; providing continuing education training for physical education teachers; hiring qualified physical education teachers; improving the quality and nutrition of school breakfasts, lunches, and snacks; ensuring free, clean drinking water access throughout the school day; and incorporating practical nutrition education into the curriculum. The Commissioner of Education is responsible for the allocation and distribution of these funds.""), (BillHistory - 03/09/2015 INTRODUCED.03/09/2015 To ASSEMBLY Committee on WAYS AND MEANS.)",60,LEG,003PA,035PAR,006RES,6918,"(42.827001032, -75.543970427)"
2011,1,VA,Virginia,Nutrition,Appropriations,Community,Aquaculture Definition,Dead,S1190,3,"(Abstract - Expands the definition of agricultural production activities in the Right to Farm Act to include the practice of aquaculture, provides that in areas zoned as agricultural or silvicultural, no special use permit shall be required for such activities, provides that localities are restricted from regulating the aquaculture production activities of riparian landowners on their own land and Piers, provides that those Piers placed for noncommercial purposes and exempt from regulation.   ), (BillHistory - 01/12/2011 - INTRODUCED.;01/12/2011 - To SENATE Committee on AGRICULTURE, CONSERVATION AND NATURAL RESOURCES.;02/07/2011 - From SENATE Committee on AGRICULTURE, CONSERVATION AND NATURAL RESOURCES:  Reported with substitute.;02/07/2011 - Committee substitute printed.;02/08/2011 - Committee substitute adopted on SENATE floor.;02/08/2011 - Engrossed by SENATE as substituted.;02/08/2011 - Passed SENATE.  *****To HOUSE.;02/09/2011 - To HOUSE Committee on AGRICULTURE, CHESAPEAKE AND NATURAL RESOURCES.;02/16/2011 - In HOUSE Committee on AGRICULTURE, CHESAPEAKE AND NATURAL RESOURCES:  Tabled.)",2,LEG,001NUT,002APP,002COM,4728,"(37.542680674, -78.457890463)"
2012,1,NC,North Carolina,Nutrition,Appropriations,School/After School,An Act to Encourage Use of the Farm to School Program<br>,Dead,H1099,3,"(Abstract - Requires the state Board of Education and the state Department of Public Instruction to work with local boards of education and local school administrative units increase the use of locally grown fresh fruits and vegetables through increased participation in the Farm to School Program.), (BillHistory - 05/23/2012 FILED; 05/24/2012 INTRODUCED; 05/24/2012 To HOUSE Committee on AGRICULTURE.)",2,LEG,001NUT,002APP,004SAS,5796,"(35.466220975, -79.159250463)"
2009,1,TX,Texas,Obesity,Appropriations,Community,Nutrition Outreach Program,Enacted,R16196,1,"(Abstract - Provides authorization for the department to administer the Nutrition Outreach Program. Provides for funds to administer and implement a Nutrition Outreach Program to promote better health and nutrition programs and prevent obesity among children in this state. The objective of the program is to increase awareness of the importance of good nutrition and to encourage children's health and well being through education, exercise, and eating right.), (BillHistory - )",28,REG,002OB,002APP,002COM,3442,"(31.827240407, -99.426770206)"
2011,1,RI,Rhode Island,Obesity,Food Restrictions,Restaurant/Retail,Seafood Marketing,Enacted,H6259,1,"(Abstract - Creates the Rhode Island Seafood Marketing Collaborative, requires the collaborative to support and work collaboratively with the Rhode Island fishing community to promote the marketing and sustainability of Rhode Island seafood, and to identify regulatory restrictions inhibiting local seafood marketing initiatives and facilitate opportunities to increase consumer demand for local seafood, establishes a related advisory council.   ), (BillHistory - 06/15/2011 - INTRODUCED.;06/15/2011 - To HOUSE Committee on ENVIRONMENT AND NATURAL RESOURCES.;06/21/2011 - Scheduled for hearing and/or consideration.;06/21/2011 - From HOUSE Committee on ENVIRONMENT AND NATURAL RESOURCES: Recommended passage.;06/23/2011 - Passed HOUSE.  *****To SENATE.;06/30/2011 - Passed SENATE.;07/07/2011 - *****To GOVERNOR.;07/12/2011 - Signed by GOVERNOR.;07/12/2011 - Public Law No. 2011-316)",35,LEG,002OB,020FOR,006RES,4542,"(41.708280193, -71.522470314)"
2011,1,OK,Oklahoma,Obesity,Appropriations,Community,Bicycles,Dead,S951,3,"(Abstract - Relates to bicycles, relate to operation of bicycles and play vehicles, modifies certain exceptions to right-hand lane operation, provides method of operation for certain types of roadways, states certain expectations for bicycle operation, modifies requirements for overtaking a vehicle traveling in opposite directions and for one-way roadways, prohibits certain conduct with a motor vehicle, provides penalty, provides an effective date, declares an emergency.  ), (BillHistory - 01/21/2011 - PREFILED.;02/07/2011 - INTRODUCED.;02/14/2011 - To SENATE Committee on PUBLIC SAFETY.)",28,LEG,002OB,002APP,002COM,4474,"(35.472031356, -97.521070214)"
2010,1,MO,Missouri,Obesity,Food Restrictions,Restaurant/Retail,Local Foods Initiative,Dead,S926,3,"(Abstract - Creates the Local Foods Initiative to encourage market opportunities for food produced close to its point of consumption. ), (BillHistory - 02/09/2010 - INTRODUCED.;02/11/2010 - To SENATE Committee on AGRICULTURE, FOOD PRODUCTION AND OUTDOOR RESOURCES.)",35,LEG,002OB,020FOR,006RES,2852,"(38.635790776, -92.566300053)"
